file,mixkit_id,original_title,source_collection,original_download,license
01-transition/whoosh-fast.wav,1492,Cinematic whoosh fast transition,https://mixkit.co/free-sound-effects/transition/,https://assets.mixkit.co/active_storage/sfx/1492/1492.wav,Mixkit Sound Effects Free License
01-transition/swoosh-soft.wav,166,Fast small sweep transition,https://mixkit.co/free-sound-effects/transition/,https://assets.mixkit.co/active_storage/sfx/166/166.wav,Mixkit Sound Effects Free License
01-transition/whoosh-air.wav,2608,Air zoom vacuum,https://mixkit.co/free-sound-effects/transition/,https://assets.mixkit.co/active_storage/sfx/2608/2608.wav,Mixkit Sound Effects Free License
01-transition/whoosh-reverse.wav,1088,Tape rewind cinematic transition,https://mixkit.co/free-sound-effects/cinematic/,https://assets.mixkit.co/active_storage/sfx/1088/1088.wav,Mixkit Sound Effects Free License
02-list-reveal/tick-ui.wav,1109,Select click,https://mixkit.co/free-sound-effects/click/,https://assets.mixkit.co/active_storage/sfx/1109/1109.wav,Mixkit Sound Effects Free License
02-list-reveal/click-soft.wav,2568,Cool interface click tone,https://mixkit.co/free-sound-effects/click/,https://assets.mixkit.co/active_storage/sfx/2568/2568.wav,Mixkit Sound Effects Free License
02-list-reveal/pop-subtle.wav,2356,Dry pop up notification alert,https://mixkit.co/free-sound-effects/notification/,https://assets.mixkit.co/active_storage/sfx/2356/2356.wav,Mixkit Sound Effects Free License
03-stat-impact/impact-punch.wav,2150,Impact of a blow,https://mixkit.co/free-sound-effects/hit/,https://assets.mixkit.co/active_storage/sfx/2150/2150.wav,Mixkit Sound Effects Free License
03-stat-impact/impact-bass.wav,2299,Short bass hit,https://mixkit.co/free-sound-effects/hit/,https://assets.mixkit.co/active_storage/sfx/2299/2299.wav,Mixkit Sound Effects Free License
03-stat-impact/thud-wood.wav,2182,Wood hard hit,https://mixkit.co/free-sound-effects/hit/,https://assets.mixkit.co/active_storage/sfx/2182/2182.wav,Mixkit Sound Effects Free License
04-positive/ding-success.wav,2865,Success software tone,https://mixkit.co/free-sound-effects/success/,https://assets.mixkit.co/active_storage/sfx/2865/2865.wav,Mixkit Sound Effects Free License
04-positive/chime-bright.wav,1107,Page forward single chime,https://mixkit.co/free-sound-effects/chime/,https://assets.mixkit.co/active_storage/sfx/1107/1107.wav,Mixkit Sound Effects Free License
04-positive/sparkle-light.wav,866,Fairy arcade sparkle,https://mixkit.co/free-sound-effects/coin/,https://assets.mixkit.co/active_storage/sfx/866/866.wav,Mixkit Sound Effects Free License
05-build-up/riser-cinematic.wav,790,Cinematic trailer riser,https://mixkit.co/free-sound-effects/cinematic/,https://assets.mixkit.co/active_storage/sfx/790/790.wav,Mixkit Sound Effects Free License
05-build-up/swell-magic.wav,1516,Magic whip swell,https://mixkit.co/free-sound-effects/whip/,https://assets.mixkit.co/active_storage/sfx/1516/1516.wav,Mixkit Sound Effects Free License
06-ui-screen/notification-pop.wav,2357,Bubble pop up alert notification,https://mixkit.co/free-sound-effects/notification/,https://assets.mixkit.co/active_storage/sfx/2357/2357.wav,Mixkit Sound Effects Free License
06-ui-screen/keyboard-typing.wav,2531,Typing on a laptop keyboard,https://mixkit.co/free-sound-effects/typing/,https://assets.mixkit.co/active_storage/sfx/2531/2531.wav,Mixkit Sound Effects Free License
06-ui-screen/camera-shutter.wav,1133,Camera shutter click,https://mixkit.co/free-sound-effects/click/,https://assets.mixkit.co/active_storage/sfx/1133/1133.wav,Mixkit Sound Effects Free License
07-money-growth/coin-clink.wav,1993,Clinking coins,https://mixkit.co/free-sound-effects/coin/,https://assets.mixkit.co/active_storage/sfx/1993/1993.wav,Mixkit Sound Effects Free License
07-money-growth/money-bag-drop.wav,1989,Money bag drop,https://mixkit.co/free-sound-effects/coin/,https://assets.mixkit.co/active_storage/sfx/1989/1989.wav,Mixkit Sound Effects Free License
07-money-growth/level-up.wav,2068,Achievement completed,https://mixkit.co/free-sound-effects/coin/,https://assets.mixkit.co/active_storage/sfx/2068/2068.wav,Mixkit Sound Effects Free License
08-compare/correct-positive.wav,2870,Correct answer tone,https://mixkit.co/free-sound-effects/notification/,https://assets.mixkit.co/active_storage/sfx/2870/2870.wav,Mixkit Sound Effects Free License
08-compare/error-buzz.wav,948,Wrong answer bass buzzer,https://mixkit.co/free-sound-effects/error/,https://assets.mixkit.co/active_storage/sfx/948/948.wav,Mixkit Sound Effects Free License
09-paper/page-turn.wav,1104,Page turn single,https://mixkit.co/free-sound-effects/paper/,https://assets.mixkit.co/active_storage/sfx/1104/1104.wav,Mixkit Sound Effects Free License
09-paper/pencil-write.wav,3194,Writing pencil,https://mixkit.co/free-sound-effects/paper/,https://assets.mixkit.co/active_storage/sfx/3194/3194.wav,Mixkit Sound Effects Free License
